Stage,Group,Matchday,Date,Time,Timezone,Team 1,FT,HT,Team 2,P,UTC
Qualifying,,Round 1 | Leg 1,Tue Feb 6 2024,21:30,-03 / UTC-0300,Academia Puerto Cabello,3-2,2-1,Defensor SC,,2024-02-07T00:30:00Z
Qualifying,,Round 1 | Leg 1,Wed Feb 7 2024,21:30,-03 / UTC-0300,Club Aurora,1-0,1-0,FBC Melgar,,2024-02-08T00:30:00Z
Qualifying,,Round 1 | Leg 1,Thu Feb 8 2024,21:30,-03 / UTC-0300,SD Aucas,1-0,0-0,Club Nacional,,2024-02-09T00:30:00Z
Qualifying,,Round 1 | Leg 2,Tue Feb 13 2024,21:30,-03 / UTC-0300,Defensor SC,2-4,1-0,Academia Puerto Cabello,,2024-02-14T00:30:00Z
Qualifying,,Round 1 | Leg 2,Wed Feb 14 2024,21:30,-03 / UTC-0300,FBC Melgar,1-1,1-1,Club Aurora,,2024-02-15T00:30:00Z
Qualifying,,Round 1 | Leg 2,Thu Feb 15 2024,21:30,-03 / UTC-0300,Club Nacional,3-0,2-0,SD Aucas,,2024-02-16T00:30:00Z
Qualifying,,Round 2 | Leg 1,Tue Feb 20 2024,19:00,-03 / UTC-0300,Portuguesa FC,1-2,1-2,CD Palestino,,2024-02-20T22:00:00Z
Qualifying,,Round 2 | Leg 1,Tue Feb 20 2024,21:30,-03 / UTC-0300,Rionegro Águilas,0-0,0-0,RB Bragantino,,2024-02-21T00:30:00Z
Qualifying,,Round 2 | Leg 1,Tue Feb 20 2024,21:30,-03 / UTC-0300,Club Always Ready,6-1,1-1,CS Cristal,,2024-02-21T00:30:00Z
Qualifying,,Round 2 | Leg 1,Wed Feb 21 2024,19:00,-03 / UTC-0300,Academia Puerto Cabello,0-2,0-2,Club Nacional de Football,,2024-02-21T22:00:00Z
Qualifying,,Round 2 | Leg 1,Wed Feb 21 2024,21:30,-03 / UTC-0300,Club Nacional,1-0,0-0,CDC Atlético Nacional,,2024-02-22T00:30:00Z
Qualifying,,Round 2 | Leg 1,Wed Feb 21 2024,21:30,-03 / UTC-0300,Club Aurora,1-1,0-1,Botafogo FR,,2024-02-22T00:30:00Z
Qualifying,,Round 2 | Leg 1,Thu Feb 22 2024,19:00,-03 / UTC-0300,Sportivo Trinidense,1-1,1-0,CSCyD El Nacional,,2024-02-22T22:00:00Z
Qualifying,,Round 2 | Leg 1,Thu Feb 22 2024,21:30,-03 / UTC-0300,CD Godoy Cruz Antonio Tomba,0-1,0-0,CSD Colo-Colo,,2024-02-23T00:30:00Z
Qualifying,,Round 2 | Leg 2,Tue Feb 27 2024,19:00,-03 / UTC-0300,CD Palestino,2-1,1-0,Portuguesa FC,,2024-02-27T22:00:00Z
Qualifying,,Round 2 | Leg 2,Tue Feb 27 2024,21:30,-03 / UTC-0300,RB Bragantino,4-3,0-0,Rionegro Águilas,,2024-02-28T00:30:00Z
Qualifying,,Round 2 | Leg 2,Tue Feb 27 2024,21:30,-03 / UTC-0300,CS Cristal,3-1,1-1,Club Always Ready,,2024-02-28T00:30:00Z
Qualifying,,Round 2 | Leg 2,Wed Feb 28 2024,19:00,-03 / UTC-0300,Club Nacional de Football,2-0,0-0,Academia Puerto Cabello,,2024-02-28T22:00:00Z
Qualifying,,Round 2 | Leg 2,Wed Feb 28 2024,21:30,-03 / UTC-0300,CDC Atlético Nacional,0-3,0-1,Club Nacional,,2024-02-29T00:30:00Z
Qualifying,,Round 2 | Leg 2,Wed Feb 28 2024,21:30,-03 / UTC-0300,Botafogo FR,6-0,3-0,Club Aurora,,2024-02-29T00:30:00Z
Qualifying,,Round 2 | Leg 2,Thu Feb 29 2024,19:00,-03 / UTC-0300,CSCyD El Nacional,0-1,0-0,Sportivo Trinidense,,2024-02-29T22:00:00Z
Qualifying,,Round 2 | Leg 2,Thu Feb 29 2024,21:30,-03 / UTC-0300,CSD Colo-Colo,0-0,0-0,CD Godoy Cruz Antonio Tomba,,2024-03-01T00:30:00Z
Qualifying,,Round 3 | Leg 1,Tue Mar 5 2024,21:30,-03 / UTC-0300,Club Nacional,0-2,0-0,CD Palestino,,2024-03-06T00:30:00Z
Qualifying,,Round 3 | Leg 1,Wed Mar 6 2024,21:30,-03 / UTC-0300,Botafogo FR,2-1,1-1,RB Bragantino,,2024-03-07T00:30:00Z
Qualifying,,Round 3 | Leg 1,Wed Mar 6 2024,21:30,-03 / UTC-0300,Sportivo Trinidense,1-1,1-0,CSD Colo-Colo,,2024-03-07T00:30:00Z
Qualifying,,Round 3 | Leg 1,Thu Mar 7 2024,21:30,-03 / UTC-0300,Club Always Ready,1-0,1-0,Club Nacional de Football,,2024-03-08T00:30:00Z
Qualifying,,Round 3 | Leg 2,Tue Mar 12 2024,21:30,-03 / UTC-0300,CD Palestino,3-1,0-1,Club Nacional,,2024-03-13T00:30:00Z
Qualifying,,Round 3 | Leg 2,Wed Mar 13 2024,21:30,-03 / UTC-0300,RB Bragantino,1-1,0-0,Botafogo FR,,2024-03-14T00:30:00Z
Qualifying,,Round 3 | Leg 2,Wed Mar 13 2024,21:30,-03 / UTC-0300,CSD Colo-Colo,2-1,2-1,Sportivo Trinidense,,2024-03-14T00:30:00Z
Qualifying,,Round 3 | Leg 2,Thu Mar 14 2024,21:30,-03 / UTC-0300,Club Nacional de Football,5-4,1-1,Club Always Ready,,2024-03-15T00:30:00Z
