Matchday,Date,Team 1,FT,HT,Team 2,Comments
17,Thu Jan 21 2021,Bayer 04 Leverkusen,,,BV Borussia 09 Dortmund,
17,Thu Jan 21 2021,SC Freiburg,,,Eintracht Frankfurt,
17,Thu Jan 21 2021,1. FSV Mainz 05,,,VfL Wolfsburg,
17,Thu Jan 21 2021,FC Augsburg,,,FC Bayern München,
17,Thu Jan 21 2021,RB Leipzig,,,1. FC Union Berlin,
18,Sun Jan 24 2021,FC Schalke 04,,,FC Bayern München,
18,Sun Jan 24 2021,Hertha BSC,,,SV Werder Bremen,
18,Sun Jan 24 2021,Borussia Mönchengladbach,,,BV Borussia 09 Dortmund,
18,Sun Jan 24 2021,DSC Arminia Bielefeld,,,Eintracht Frankfurt,
18,Sun Jan 24 2021,Bayer 04 Leverkusen,,,VfL Wolfsburg,
18,Sun Jan 24 2021,SC Freiburg,,,VfB Stuttgart,
18,Sun Jan 24 2021,1. FSV Mainz 05,,,RB Leipzig,
18,Sun Jan 24 2021,TSG 1899 Hoffenheim,,,1. FC Köln,
18,Sun Jan 24 2021,FC Augsburg,,,1. FC Union Berlin,
19,Sun Jan 31 2021,1. FC Köln,,,DSC Arminia Bielefeld,
19,Sun Jan 31 2021,Eintracht Frankfurt,,,Hertha BSC,
19,Sun Jan 31 2021,BV Borussia 09 Dortmund,,,FC Augsburg,
19,Sun Jan 31 2021,VfB Stuttgart,,,1. FSV Mainz 05,
19,Sun Jan 31 2021,SV Werder Bremen,,,FC Schalke 04,
19,Sun Jan 31 2021,FC Bayern München,,,TSG 1899 Hoffenheim,
19,Sun Jan 31 2021,VfL Wolfsburg,,,SC Freiburg,
19,Sun Jan 31 2021,1. FC Union Berlin,,,Borussia Mönchengladbach,
19,Sun Jan 31 2021,RB Leipzig,,,Bayer 04 Leverkusen,
20,Sun Feb 7 2021,FC Schalke 04,,,RB Leipzig,
20,Sun Feb 7 2021,Hertha BSC,,,FC Bayern München,
20,Sun Feb 7 2021,Borussia Mönchengladbach,,,1. FC Köln,
20,Sun Feb 7 2021,DSC Arminia Bielefeld,,,SV Werder Bremen,
20,Sun Feb 7 2021,Bayer 04 Leverkusen,,,VfB Stuttgart,
20,Sun Feb 7 2021,SC Freiburg,,,BV Borussia 09 Dortmund,
20,Sun Feb 7 2021,1. FSV Mainz 05,,,1. FC Union Berlin,
20,Sun Feb 7 2021,TSG 1899 Hoffenheim,,,Eintracht Frankfurt,
20,Sun Feb 7 2021,FC Augsburg,,,VfL Wolfsburg,
21,Sun Feb 14 2021,Eintracht Frankfurt,,,1. FC Köln,
21,Sun Feb 14 2021,BV Borussia 09 Dortmund,,,TSG 1899 Hoffenheim,
21,Sun Feb 14 2021,VfB Stuttgart,,,Hertha BSC,
21,Sun Feb 14 2021,SV Werder Bremen,,,SC Freiburg,
21,Sun Feb 14 2021,FC Bayern München,,,DSC Arminia Bielefeld,
21,Sun Feb 14 2021,Bayer 04 Leverkusen,,,1. FSV Mainz 05,
21,Sun Feb 14 2021,VfL Wolfsburg,,,Borussia Mönchengladbach,
21,Sun Feb 14 2021,1. FC Union Berlin,,,FC Schalke 04,
21,Sun Feb 14 2021,RB Leipzig,,,FC Augsburg,
22,Sun Feb 21 2021,1. FC Köln,,,VfB Stuttgart,
22,Sun Feb 21 2021,Eintracht Frankfurt,,,FC Bayern München,
22,Sun Feb 21 2021,FC Schalke 04,,,BV Borussia 09 Dortmund,
22,Sun Feb 21 2021,Hertha BSC,,,RB Leipzig,
22,Sun Feb 21 2021,Borussia Mönchengladbach,,,1. FSV Mainz 05,
22,Sun Feb 21 2021,DSC Arminia Bielefeld,,,VfL Wolfsburg,
22,Sun Feb 21 2021,SC Freiburg,,,1. FC Union Berlin,
22,Sun Feb 21 2021,TSG 1899 Hoffenheim,,,SV Werder Bremen,
22,Sun Feb 21 2021,FC Augsburg,,,Bayer 04 Leverkusen,
23,Sun Feb 28 2021,BV Borussia 09 Dortmund,,,DSC Arminia Bielefeld,
23,Sun Feb 28 2021,VfB Stuttgart,,,FC Schalke 04,
23,Sun Feb 28 2021,SV Werder Bremen,,,Eintracht Frankfurt,
23,Sun Feb 28 2021,FC Bayern München,,,1. FC Köln,
23,Sun Feb 28 2021,Bayer 04 Leverkusen,,,SC Freiburg,
23,Sun Feb 28 2021,VfL Wolfsburg,,,Hertha BSC,
23,Sun Feb 28 2021,1. FSV Mainz 05,,,FC Augsburg,
23,Sun Feb 28 2021,1. FC Union Berlin,,,TSG 1899 Hoffenheim,
23,Sun Feb 28 2021,RB Leipzig,,,Borussia Mönchengladbach,
24,Sun Mar 7 2021,1. FC Köln,,,SV Werder Bremen,
24,Sun Mar 7 2021,Eintracht Frankfurt,,,VfB Stuttgart,
24,Sun Mar 7 2021,FC Schalke 04,,,1. FSV Mainz 05,
24,Sun Mar 7 2021,Hertha BSC,,,FC Augsburg,
24,Sun Mar 7 2021,Borussia Mönchengladbach,,,Bayer 04 Leverkusen,
24,Sun Mar 7 2021,FC Bayern München,,,BV Borussia 09 Dortmund,
24,Sun Mar 7 2021,DSC Arminia Bielefeld,,,1. FC Union Berlin,
24,Sun Mar 7 2021,SC Freiburg,,,RB Leipzig,
24,Sun Mar 7 2021,TSG 1899 Hoffenheim,,,VfL Wolfsburg,
25,Sun Mar 14 2021,BV Borussia 09 Dortmund,,,Hertha BSC,
25,Sun Mar 14 2021,VfB Stuttgart,,,TSG 1899 Hoffenheim,
25,Sun Mar 14 2021,SV Werder Bremen,,,FC Bayern München,
25,Sun Mar 14 2021,Bayer 04 Leverkusen,,,DSC Arminia Bielefeld,
25,Sun Mar 14 2021,VfL Wolfsburg,,,FC Schalke 04,
25,Sun Mar 14 2021,1. FSV Mainz 05,,,SC Freiburg,
25,Sun Mar 14 2021,FC Augsburg,,,Borussia Mönchengladbach,
25,Sun Mar 14 2021,1. FC Union Berlin,,,1. FC Köln,
25,Sun Mar 14 2021,RB Leipzig,,,Eintracht Frankfurt,
26,Sun Mar 21 2021,1. FC Köln,,,BV Borussia 09 Dortmund,
26,Sun Mar 21 2021,Eintracht Frankfurt,,,1. FC Union Berlin,
26,Sun Mar 21 2021,FC Schalke 04,,,Borussia Mönchengladbach,
26,Sun Mar 21 2021,SV Werder Bremen,,,VfL Wolfsburg,
26,Sun Mar 21 2021,Hertha BSC,,,Bayer 04 Leverkusen,
26,Sun Mar 21 2021,FC Bayern München,,,VfB Stuttgart,
26,Sun Mar 21 2021,DSC Arminia Bielefeld,,,RB Leipzig,
26,Sun Mar 21 2021,SC Freiburg,,,FC Augsburg,
26,Sun Mar 21 2021,TSG 1899 Hoffenheim,,,1. FSV Mainz 05,
27,Sun Apr 4 2021,BV Borussia 09 Dortmund,,,Eintracht Frankfurt,
27,Sun Apr 4 2021,VfB Stuttgart,,,SV Werder Bremen,
27,Sun Apr 4 2021,Borussia Mönchengladbach,,,SC Freiburg,
27,Sun Apr 4 2021,Bayer 04 Leverkusen,,,FC Schalke 04,
27,Sun Apr 4 2021,VfL Wolfsburg,,,1. FC Köln,
27,Sun Apr 4 2021,1. FSV Mainz 05,,,DSC Arminia Bielefeld,
27,Sun Apr 4 2021,FC Augsburg,,,TSG 1899 Hoffenheim,
27,Sun Apr 4 2021,1. FC Union Berlin,,,Hertha BSC,
27,Sun Apr 4 2021,RB Leipzig,,,FC Bayern München,
28,Sun Apr 11 2021,1. FC Köln,,,1. FSV Mainz 05,
28,Sun Apr 11 2021,Eintracht Frankfurt,,,VfL Wolfsburg,
28,Sun Apr 11 2021,VfB Stuttgart,,,BV Borussia 09 Dortmund,
28,Sun Apr 11 2021,FC Schalke 04,,,FC Augsburg,
28,Sun Apr 11 2021,SV Werder Bremen,,,RB Leipzig,
28,Sun Apr 11 2021,Hertha BSC,,,Borussia Mönchengladbach,
28,Sun Apr 11 2021,FC Bayern München,,,1. FC Union Berlin,
28,Sun Apr 11 2021,DSC Arminia Bielefeld,,,SC Freiburg,
28,Sun Apr 11 2021,TSG 1899 Hoffenheim,,,Bayer 04 Leverkusen,
29,Sun Apr 18 2021,BV Borussia 09 Dortmund,,,SV Werder Bremen,
29,Sun Apr 18 2021,Borussia Mönchengladbach,,,Eintracht Frankfurt,
29,Sun Apr 18 2021,1. FSV Mainz 05,,,Hertha BSC,
29,Sun Apr 18 2021,Bayer 04 Leverkusen,,,1. FC Köln,
29,Sun Apr 18 2021,SC Freiburg,,,FC Schalke 04,
29,Sun Apr 18 2021,VfL Wolfsburg,,,FC Bayern München,
29,Sun Apr 18 2021,FC Augsburg,,,DSC Arminia Bielefeld,
29,Sun Apr 18 2021,1. FC Union Berlin,,,VfB Stuttgart,
29,Sun Apr 18 2021,RB Leipzig,,,TSG 1899 Hoffenheim,
30,Thu Apr 22 2021,1. FC Köln,,,RB Leipzig,
30,Thu Apr 22 2021,Eintracht Frankfurt,,,FC Augsburg,
30,Thu Apr 22 2021,BV Borussia 09 Dortmund,,,1. FC Union Berlin,
30,Thu Apr 22 2021,VfB Stuttgart,,,VfL Wolfsburg,
30,Thu Apr 22 2021,SV Werder Bremen,,,1. FSV Mainz 05,
30,Thu Apr 22 2021,Hertha BSC,,,SC Freiburg,
30,Thu Apr 22 2021,FC Bayern München,,,Bayer 04 Leverkusen,
30,Thu Apr 22 2021,DSC Arminia Bielefeld,,,FC Schalke 04,
30,Thu Apr 22 2021,TSG 1899 Hoffenheim,,,Borussia Mönchengladbach,
31,Sun Apr 25 2021,FC Schalke 04,,,Hertha BSC,
31,Sun Apr 25 2021,Borussia Mönchengladbach,,,DSC Arminia Bielefeld,
31,Sun Apr 25 2021,Bayer 04 Leverkusen,,,Eintracht Frankfurt,
31,Sun Apr 25 2021,SC Freiburg,,,TSG 1899 Hoffenheim,
31,Sun Apr 25 2021,VfL Wolfsburg,,,BV Borussia 09 Dortmund,
31,Sun Apr 25 2021,1. FSV Mainz 05,,,FC Bayern München,
31,Sun Apr 25 2021,FC Augsburg,,,1. FC Köln,
31,Sun Apr 25 2021,1. FC Union Berlin,,,SV Werder Bremen,
31,Sun Apr 25 2021,RB Leipzig,,,VfB Stuttgart,
32,Sun May 9 2021,1. FC Köln,,,SC Freiburg,
32,Sun May 9 2021,Eintracht Frankfurt,,,1. FSV Mainz 05,
32,Sun May 9 2021,BV Borussia 09 Dortmund,,,RB Leipzig,
32,Sun May 9 2021,VfB Stuttgart,,,FC Augsburg,
32,Sun May 9 2021,SV Werder Bremen,,,Bayer 04 Leverkusen,
32,Sun May 9 2021,Hertha BSC,,,DSC Arminia Bielefeld,
32,Sun May 9 2021,FC Bayern München,,,Borussia Mönchengladbach,
32,Sun May 9 2021,VfL Wolfsburg,,,1. FC Union Berlin,
32,Sun May 9 2021,TSG 1899 Hoffenheim,,,FC Schalke 04,
33,Sat May 15 2021,FC Schalke 04,,,Eintracht Frankfurt,
33,Sat May 15 2021,Hertha BSC,,,1. FC Köln,
33,Sat May 15 2021,Borussia Mönchengladbach,,,VfB Stuttgart,
33,Sat May 15 2021,DSC Arminia Bielefeld,,,TSG 1899 Hoffenheim,
33,Sat May 15 2021,Bayer 04 Leverkusen,,,1. FC Union Berlin,
33,Sat May 15 2021,SC Freiburg,,,FC Bayern München,
33,Sat May 15 2021,1. FSV Mainz 05,,,BV Borussia 09 Dortmund,
33,Sat May 15 2021,FC Augsburg,,,SV Werder Bremen,
33,Sat May 15 2021,RB Leipzig,,,VfL Wolfsburg,
34,Sat May 22 2021,1. FC Köln,,,FC Schalke 04,
34,Sat May 22 2021,Eintracht Frankfurt,,,SC Freiburg,
34,Sat May 22 2021,BV Borussia 09 Dortmund,,,Bayer 04 Leverkusen,
34,Sat May 22 2021,VfB Stuttgart,,,DSC Arminia Bielefeld,
34,Sat May 22 2021,SV Werder Bremen,,,Borussia Mönchengladbach,
34,Sat May 22 2021,FC Bayern München,,,FC Augsburg,
34,Sat May 22 2021,VfL Wolfsburg,,,1. FSV Mainz 05,
34,Sat May 22 2021,TSG 1899 Hoffenheim,,,Hertha BSC,
34,Sat May 22 2021,1. FC Union Berlin,,,RB Leipzig,
